Book Name,Author's Name,Publisher's Name
10000+ Vastunishth Prashnottar Vyakhya Sahit for Samanya Gyan UPSC/ State PCS/ SSC/ Banking/ Railways/ Defence,Disha Experts,Disha Publications
Lucent's Samanya Gyan,Lucent,Lucent Publications
Quantitative Aptitude for Competitive Examinations,R.S Agarwal,S.Chand & Company Pvt. Ltd.
Objective General English,S.P.Bakshi,Arihant Publications
Banking Awareness,Disha Experts,Disha Publications
"General Awareness, Banking & Economy Topic-wise Solved Papers",Disha Experts,Disha Publications
Quantitative Aptitude for Competitive Exams,Abhijit Guha,McGraw-Hill Education
Reasoning Ability Topic-wise Solved Papers,Disha Experts,Disha Publications
Banking Awareness,Disha Experts,Disha Publication
Computer Knowledge,Shikha Agarwal,Disha Publications
Computer Jagrukta (Computer Awareness),Arihant Experts,Arihant Publications
IBPS-CWE Specialist Officer Cadre Law Officer Scale I & ii Recruitment Exam (OLD EDITION),Arihant Experts,Arihant Publications
24 Practice Sets for IBPS RRB Office Assistant (Multipurpose) Preliminary & Mains Exam with 4 Online Tests,Disha experts,Disha Publications
IBPS RRB Guide for Office Assistant (Multipurpose) Preliminary & Mains Exam with 4 Online Practice Sets 6th Edition,Disha experts,Disha Publications
IBPS RRBS Office Assistant (Multipurpose) & Officer Scale-I Prarambhik Bharti Pariksha–2019 (30 Practice Sets) (Hindi),Arvind Verma,Prabhat Prakashan
IBPS SO IT Officer (Pre + Mains) Books Kit (English Printed Edition),Adda 247 publication,Adda247 Publications
Bank-Law Specialist Officer Exam,chandresh agrawal's,priyanka prakashan
Banking and Financial Awareness,Kiran Prakashan,Kiran Prakashan
Financial Awareness for Competitive Exams 2nd Edition,Disha experts,Disha Publications
Guide to IBPS & SBI Specialist IT Officer Scale I,Disha experts,Disha Publications
IBPS Specialist Officers HR/Personnel Officer Scale I,GKP Editorial Board,G.K. Publications Pvt. Ltd.
IBPS Specialist Officer SO SPL-6 Human Resource HR/Personnel Exam Self Study Guide-cum-Practice Workbook,Kiran Prakashan,Kiran Prakashan
IBPS (Specialist Officers) Marketing Officer (Scale-I) Preliminary & Main Exams Guide,RPH Editorial,Ramesh Publishing House
"IBPS-Specialist Officers (HR/Personnel Officer) Scale-I (Preliminary & Main) Exam Guide (English, Paperback, RPH Editorial Board)",RPH Editorial Board,Ramesh Publishing House
IBPS (Specialist Officer) Rajbhasha Adhikari / Law Officer (Preliminary) Exam Guide,RPH Editorial Board,Ramesh Publishing House
IBPS - CWE (4) Specialist Officers Cadre HR Officer (Human Resource / Personnel Officer) Scale 1 Online Exam 2015,Arihant Experts,Arihant Publications
15 Practice Sets IBPS SO Main HR Personnel Officer,Arihant Experts,Arihant Publications
IBPS SO Law Officer CRP SPL Professional Knowledge Main Exam Practice Workbook,Kiran Prakashan,Kiran Prakashan
Specialist Officer- IT (Information Technology) for IBPS and SBI SO Exam (Hindi),IBS institute,IBS Institute Chandigarh
BPS (CRP SPL-VI) Specialist Officer Sanvarg Manav Sansadhan/Karmik Officer Scale-I Pariksha Study Guide2017,Arihant Experts,Arihant Publications
Nabard Development Assistant Exam,Dr. Chandresh Agrawal,Priyanka Prakashan
"Objective English: Competitive Examination, 6/e: For Competitive Examination",Showick Thorpe and Edgar Thorpe,Pearson Education Limited
SBI Clerk Junior Associates Practice Sets Mains Exam 2019,Arihant Experts,Arihant Publications
Ultimate Guide to SBI Clerk Junior Associates/ Agricultural Associates Preliminary & Main Exam,Disha Experts,Disha Publications
SBI Bank Clerks' Exam,V.V.K. Subburaj,S.Chand & Company Pvt. Ltd.
"Wiley's State Bank of India (SBI) Clerk (Junior Associates) Prelims Exam Goalpost Solved Papers and Practice Tests,",DT Editorial Services,Wiley India Pvt. Ltd.
Test of Reasoning for All Competitive Examinations,Edgar Thorpe,McGraw-Hill Education
SBI Clerk Junior Associates Practice Sets Mains Exam 2019 Hindi,Arihant Experts,Arihant Publications
Wiley's State Bank of India (SBI) Clerk (Junior Associates) Prelims Exam Goalpost Solved Papers and Paperback,DT Editorial Services,Wiley India Pvt. Ltd.
"Objective English: Competitive Examination, 6/e: For Competitive Examination",Showick Thorpe and Edgar Thorpe,Pearson Education Limited
Banking Awareness Paperback – 2017,Arihant Experts,Arihant Publications
SBI PO Phase 1 Preliminary Exam Guide 2019,Arihant Experts,Arihant Publications
SBI PO Phase 1 Practice Sets Preliminary Exam 2019,Arihant Experts,Arihant Publications
SBI PO Phase II Main Exam Practice Workbook English,Editorial Board,Kiran Prakashan
SBI PO PHASE 2 Main Exam Guide 2019,Arihant Experts,Arihant Publications
SBI PO Phase-I Prarambhik Pariksha 2018,Arihant Experts,Arihant Publications
New Pattern English Language for SBI/IBPS Bank PO/SO/Clerk/RRB Exams,Disha experts,Disha Publications
Objective Marketing Aptitude,Arihant Experts,Arihant Publications
IBPS SO Law Officer CRP SPL Professional Knowledge Main Exam Practice Workbook,Kiran Prakashan,Kiran Prakashan
Economic & Social Issues in India,Dhruv Kumar,Ramesh Publishing House
Indian Financial System,Pathak Bharti,Pearson Education Limited
SEBI Officer Grade A (Assistant Manager) Exam Securities Market Awareness: Study Material,Ajay Kumar,Amazon Asia-Pacific Holdings Pvt. Ltd.
MCQs on Securities Market Awareness: SEBI Grade-A Exam -Practice Workbook (Set 1),Ajay Kumar,Amazon Asia-Pacific Holdings Pvt. Ltd.
Securities Laws & Capital Markets (June 2019 Exam-New Syllabus)(January 2019 Edition),N.S. Zad,Taxmann
Andhra Pradesh State Police Constable Communication [ ENGLISH MEDIUM ],Editorial Board,Kiran Prakashan
Andhra Pradesh State Level Police recruitment Board POLICE CONSTABLE-Preliminary Written Test - [ ENGLISH MEDIUM ],Vijeta Competitions Editorial Board,Vijetha Competitions
Andhra Pradesh State Level Police Recruitment Board Police Constables Preliminary & Final Written Test Top-22 Model Papers,Vijeta Competitions Editorial Board,Vijetha Competitions
POLICE SI English Manual [Concepts Explanations & Practice MCQs],Mocktime Experts,Mocktime Publication
Andhra Pradesh SCT S.I./S.I.of Police Arithmetic,Dr. M. B. Lal & Dr. P. K. Goswami,Upkar Prakashan
POLICE SI Math Mock Test Papers,Mocktime Experts,Mocktime Publication
Bihar Police Sipahi 2017-18,Arihant Experts,Arihant Publications
Bihar Police Constable Recruitment Examination 2017 (Hindi),Editorial Board,G.K. Publications Pvt. Ltd.
Bihar Police Bal Sipahi Bharti Exam Practice Workbook,Editorial Board,Kiran Prakashan
"Wiley's Bihar Police Sub Inspector (SI) Prelims & Mains Exam Goalpost Practice Tests & Model Test Papers, in Hindi",DT Editorial Services,Wiley India Pvt. Ltd.
"50 PRACTICE SETS BIHAR POLICE SI RECRUITMENT (PRE,) EXAMINATION WITH QUESTION BANK 2018 Paperback – 2017",Editorial Board,Spark Publication
Kiran BPSSC Bihar Police Daroga (SI) Snatak Stariya Prarambhik Pariksha Guide cum Practice Workbook (Hindi) KP 2027,Editorial Board,Kiran Prakashan
Pathfinder CDS Combined Defence Services Entrance Examination,Arihant Experts,Arihant Publications
CDS Solved Paper Chapterwise & Section Wise,Arihant Experts,Arihant Publications
CDS Solved Paper Chapterwise & Sectionwise Hindi,Arihant Experts,Arihant Publications
CISF Head Constable Guide 2019,Arihant Experts,Arihant Publications
CISF Head Constable ( Ministerial ) Written Test Study Guide in English,Arihant Experts,Arihant Publications
CISF ASI (Steno)/Head Constable (Ministerial) Recruitment Exam Guide,RPH Editorial Board,Ramesh Publishing House
Kiran’s CISF Head Constable/ Min. & HC/ MIN (LDCE) Exam Practice Workbook- English,Editorial Board,Kiran Prakashan
CISF Head Constable Guide 2019,Arihant Experts,Arihant Publications
Delhi Police Constable 2019,Arihant Experts,Arihant Publications
SSC: Delhi Police Constable (Executive) Recruitment Exam Guide,RPH Editorial Board,Ramesh Publishing House
Delhi Police Constable (Purush/Mahila) Karyakari Computer Adharit Pariksha 2019,Arihant Experts,Arihant Publications
SSC: Delhi Police Constable (Executive) Recruitment Exam Guide,RPH Editorial Board,Ramesh Publishing House
Delhi Police Multi Tasking Staff (MTS) Civilian Exam Books 2018,V.V.K. Subburaj,Sura Books Pvt. Ltd.
Delhi Police Multi-Tasking Staff (Civilian) Bharti Pariksha,Arihant Experts,Arihant Publications
Kiran's Delhi Police MTS (Civilian) Practice Workbook - 2100 (Hindi),Editorial Board,Kiran Prakashan
Delhi Police MTS 20 Practice Set,Student Advisor Publications Editorial Board,Student Advisor Publications Pvt. Ltd.
Rapid General Knowledge 2019,Disha Experts,Disha Publications
GOA Police Constable & SI preparation english guide,Disha Experts,Disha Publications
Haryana Police Constable 2018 (Hindi),Arihant Publications,Arihant Publications
Haryana Police Constable Bharti Exam 2019 - Complete Guide + Practice Papers + Solved papers Paperback,Agrawal ExamCart Expert,Agrawal Examcart
"Haryana Police Sub-Inspector (Hardcover, Competition Bureau Editorial Board)",Competition Bureau Editorial Board,S. S. Madan
Haryana Police SI Sub Inspector,Ram Singh Yadav,Shri Krishan Publishers Pvt. Ltd.
Himachal Pradesh Police : Constable Recruitment Exam Guide,RPH Editorial Board,Ramesh Publishing House
HP Police Constable Sipahi Recruitment Exam Practice Papers Set,"Ram Singh Yadav, Yadvendra Yadav",Shri Krishan Publishers Pvt. Ltd.
Police Sub Inspector Competitive Exam Book,Editorial Board,Cambridge University Press
Kerala PSC Civil Police Officer Exam Guide 2018,V.V.K. Subburaj,Sura Books Pvt. Ltd.
MPSC/SSC MAHARASHTRA PSC/SSC English Manual [Concepts Explanations & Practice MCQs]: Mocktime Publication,Mocktime Experts,Mocktime Publication
PSC SUB INSPECTOR OF POLICE/EXCISE INSPECTOR EXAM,V.V.K.SUBBURAJ,Sura Books Pvt. Ltd.
Lucent's Samanya Vigyan;General Science In Hindi,PAVAN GOSWAMI,Lucent Publications
Lucent Objective General Knowledge,Vastunisth Samanya Gyan,Lucent Publications
Rajasthan Police Constable Guide 2019 with free solved paper,Navrang Rai (Retd. R.A.S.),Rai Publication
Lakshya Rajasthan Police,"Kanti Jain (Author), Mahaveer Jain (Author)",Manu Prakashan Pvt. Ltd.
Telangana State Level Police recruitment Board Police Constables Preliminary Written Test,Vijeta Competitions Editorial Board,Vijetha Competitions
Uttar Pradesh General Knowledge 2019,GKP Editorial Board,G.K. Publications Pvt. Ltd.
UTTAR PRADESH (English),Chandel,Arohi Publication
Uttar Pradesh General Knowledge 2019,Editorial Board,G.K. Publications Pvt. Ltd.
Uttar Pradesh Sub-Inspector Police Sidhi Bharti Pariksha,Editorial Board,Upkar Prakashan
CAPF Assistant Commandant Guide 2019,Arihant Experts,Arihant Publications
CAPF Paper 1 - General Ability & Intelligence,Prashant Jagtap,McGraw-Hill Education
UPSC CAPF Central Armed Police Force Assistant Commandants Paper I & Paper II Exam Practice Workbook,Editorial Board,Kiran Prakashan
CAPF Assistant Commandant Guide 2019 Hindi,Arihant Experts,Arihant Publications
WEST BENGAL GENERAL KNOWLEDGE MANUAL 2019,Editorial Board,Unique Publishers India Pvt. Ltd.
"L.I.C./G.I.C./O.I.C. A.A.O. Assistant Administrative Officers Exam (English, Paperback, Jain Lal)",Upkar,Upkar Prakashan
A.A.O. L.I.C./G.I.C./O.I.C. Assistant Administrative Officers Exam (Generalists),Upkar,Upkar Prakashan
IRDAI( Insurance Regulatory and Development Authority of India ) Assistant Manager Prelims Exam Books 2018,VVK Subburaj,Sura Books Pvt. Ltd.
IRDA / IRDA Assistant Manager 2018-19 Exam Book- Phase 2 Study Material / Notes (,Ankit aggarwal,Fly high publications
Essential English Grammar,Raymond Murphy,Cambridge University Press
Quicker Maths,Manoj Tyra,BSC Publishing Co. Pvt. Ltd.
Advanced Maths for General Competitions,Rakesh Yadav,K.D.Publications
Verbal and Non Verbal Reasoning,R.S.Agarwal,S.Chand & Company Pvt. Ltd.
Essential English Grammar,Raymond Murphy,Cambridge University Press
Life Insurance Corporation of India Apprentice Development Officer (Lic ADO) Recruitment Examination,Arihant experts,Arihant Publications
LIC - ADO (Apprentice Development Officers) Preliminary & Main Exam Guide,R gupta,Ramesh Publishing House
LIC ADO HINDI EDN,Editorial board,Sahitya Bhawan
LIC - ADO (Apprentice Development Officers) Preliminary & Main Exam Guide,R gupta,RPH Editorial
20 Practice Sets for NIACL AO (Administrative Officers) Preliminary Exam with 5 Online Tests,Disha Experts,Disha Publications
NICL (National Insurance Corporation Limited) (AO) Administrative Officer Online Exam Practice Workbook,Kiran prakash,Kiran Prakashan
National Insurance Company Assistant Recruitment Exam,Arihant publications,Arihant Publications
"Nicl (National Insurance Company Limited) Assistant Online Exam Practice Workbook (Paperback, Hindi, Think Tank of Kiran Prakashan, Pratiyogita Kiran & KICX)",kiran prakashan,Kiran Prakashan
New India Assurance Company Limited Assistants ( NIACL ) Tier 1 Prelims Exam Books 2017,VVK Subburaj,Sura Books Pvt. Ltd.
"20 Practice Set The New India Assurance Assistant Pre Tier- I 2018 Hindi (Hindi, Paperback, Arihant Experts)",arihant,Arihant Publications
"Administrative Officer [AO] (NIACL, OICL, NICL, UIIC) Preliminary & Main Exam Guide",RPH Editorial Board,Ramesh Publishing House
"Administrative Officer [AO] (NIACL, OICL, NICL, UIIC) Preliminary & Main Exam Guide (Hindi) Paperback – 2019",RPH Editorial Board,Ramesh Publishing House
Uiic(United India Insurance Co.ltd.) & Oicl (Oriental Insurance Co.ltd.)Assistants Online Exam Practice Work Books —english,Editorial Board,Kiran Prakashan
The Oriental Insurance Company Ltd. Assistants Recruitment Exam,Upkar,Upkar Prakashan
United India Insurance Company Assistant Recruitment Exam.,Upkar,Upkar Prakashan
UIIC - United India Insurance Company Assistant Recruitment Exam Study Material Books,VVK Subburaj,Sura Books Pvt. Ltd.
UNITED INDIA INSURANCE COMPANY ASSISTANT RECRUITMENT EXAM,Upkar,Upkar Prakashan
RPF & RPSF Constable Guide 2018,Arihant Experts,Arihant Publications
RPF & RPSF Constable Recruitment Exam Guide: According to Latest Syllabus (Popular Master Guide),R Gupta,Ramesh Publishing House
RPF & RPSF Constable Guide 2018,Arihant Experts,Arihant Publications
RPF/RPSF Sub Inspector (EXE) Exam Books 2018 in English Paperback – 2018,V.V.K Subbaraju,Sura Books Pvt. Ltd.
RPF & RPSF Sub Inspector Guide 2018 (Hindi) Paperback – 2018,Arihant Experts,Arihant Publications
Railway Assistant Loco Pilot and Technician 2018,Arihant Experts,Arihant Publications
RRB Assistant Loco Pilot & Technician Exam Book 2018,Editorial Board,SAKTHI PUBLISHING HOUSE
RRB Group D Guide 2019 - Level 1,Arihant Experts,Arihant Publications
"General Science for RRB Junior Engineer, NTPC, ALP & Group D Exams - 2nd Edition (English, Paperback, Disha Experts)",Disha Experts,Disha Publications
RRB NTPC Guide 2019,Arihant Experts,Arihant Publications
General Knowledge and Awareness for RRB,Dr.Md.Usmanagani Ansari,Disha Publications
General Science for Indian Railways RRB Exam,Teamx360 Publishers,Teamx360
RRB NTPC CBT Guide,"Kiran Prakashan
Pratiyogita Kiran",Kiran Prakashan
RRC Level-I Posts Group-D Top 34 Model Papers 2019,Vijetha competitions,Bandla Publications
RRC GROUP D HINDI EDN (Hindi) Paperback,Editorial board,Sahitya Bhawan Publications
Objective General English,S.P. Bakshi,Arihant Publications
IDIOMS and PHRASES Anglo,Roshan Tolani,Arihant Publications
Word power made easy by Norman Lewis,Norman Lewis,Gullybaba Publishing House Pvt. Ltd.
English For Competitions Vol-I 2019,Neetu Singh,KD Publications
English Volume-2 For General Competitions,Neetu Singh,KD Publications
Kiran’s SSC CGL Tier II CAPFS (CPO) Online Exam English Language & Comprehension Objective Type English,Kiran Prakashan,Kiran Prakashan
Manorama Yearbook 2019 ( English),Philip Mathew,Malayala Manorama
A New Approach to REASONING Verbal & Non-Verbal,B.S. Sijwali,Arihant Publications
???????: ????? ?????????,R K Jha,Pearson Education Limited
A Modern Approach to Verbal & Non-Verbal Reasoning,R S Aggarwal,S.Chand & Company Pvt. Ltd.
Play with Advanced Maths,Abhinay Sharma,Abhinay Publications
Fast Track Objective Arithmetic,Rajesh Verma,Arihant Publications
Magical Books On Quicker Maths (2018-2019) Session by M. Tyra,Manoj Tyra,BSC Publishing Co. Pvt. Ltd.
SSC Higher Mathematics,Rishikesh Kumar,Lucent Publications
Advance Maths,Raakesh Yadav,Rakesh Yadav Readers Publication Pvt. Ltd.
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,S.Chand & Company Pvt. Ltd.
Kiran’s SSC CGL Tier II CAPFS (CPO) Online Exam English Language & Comprehension Objective Type Hindi,Kiran Prakashan,Kiran Prakashan
Manorama Year Book 2019 - Hindi,Mammen Mathew,Malayala Manorama
Fast-Track Vastunisth Ankganit,Arihant Experts,Arihant Publications
Quicker Maths (Hindi),Manoj Tyra,BSC Publishing Co. Pvt. Ltd.
SSC ADVANCE MATH (HINDI),Raakesh Yadav,Rakesh Yadav Readers Publication Pvt. Ltd.
Sankhyatmak Abhiyogyata (Quantitative Aptitude),R S Aggarwal,S.Chand & Company Pvt. Ltd.
Common Errors in English —English,Editorial Board,Kiran Prakashan
SSC CHSL Tier-II Descriptive Exam Practice Workbook,Editorial Board,Kiran Prakashan
Common Errors in English Anglo-Hindi—Hindi,Editorial Board,Kiran Prakashan
SSC CHSL Tier-II Descriptive Exam Practice Workbook - 2095 (Hindi),Editorial Board,Kiran Prakashan
A Mirror Of Common Errors,AK Singh,Student's Friend
SSC CPO Sub-Inspector & Assistant Sub -Inspector Recruitment Examination Paper-I 2018 (Guide),Editorial Board,G.K. Publications Pvt. Ltd.
SSC CPO (CAPFS) Paper-I & Paper-II Online Exam Practice Workbook,Editorial Board,Kiran Prakashan
Concise General Knowledge 2019,Editorial Board,G.K. Publications Pvt. Ltd.
"SSC: Constable (GD) CAPFs (ITBP/CISF/CRPF/BSF/SSB), NIA, SSF & Rifleman (Assam Rifles)",RPH Editorial Board,Ramesh Publishing House
Concise General Knowledge 2019 (Hindi),Editorial Board,G.K. Publications Pvt. Ltd.
Adhunik Hindi Vyakaran Aur Rachna,Dr. Vasudev Nandan Prasad,Bharati Bhawan Publishers & Distributors
"Idioms, Phrases & Proverbs with Hindi Meanings & Usage",H.S. Bhatia,Ramesh Publishing House
General Hindi and Concise Grammar - An Indispensable Guide for all Competitive Exams,Dr. Brij Kishore Prasad Singh,Unique Publishers India Pvt. Ltd.
Ultimate Guide to SSC Stenographer Grade C & D Exam,Disha Experts,Disha Publications
CTET and CTET Child Development and Pedagogy Paper 1 and 2,Arihant Experts,Arihant Publications
Child Development & Pedagogy for CTET & STET (Paper 1 & 2) 2nd Edition,Shalini Punjabi,Disha Publications
A Complete Resource for CTET: Child Development and Pedagogy,Sandeep Kumar,Pearson Education Limited
CTET & STETs: Child Development and Pedagogy with Previous Year Papers,HIMANSHI SINGH,Invincible Publishers
CTET Preparation and Practice: Child Development and Pedagogy,Malavika Kapur,Oxford University Press
A Complete Resource for CTET: English and Pedagogy Language 1,Geeta Sahni,Pearson Education Limited
(CTET /TET) English Language & its Pedagogy,"Om Prakash, Gyan Singh",McGraw-Hill Education
Ctet Chapterwise English Pedagogy Grammar,SUSHIL SAROHA,Saroha Publication
CTET Preparation and Practice: Environmental Studies,Kalyani Akalamkam;Bandita Balaram Mohanty,Oxford University Press
Ctet Paper -1 Environmental Studies,SUSHIL SAROHA,Saroha Publication
"Wiley's Environmental Studies (EVS) Exam Goalpost for CTET and TETs Exams, Paper - I, Class I - V, 2019",DT Editorial Services,Wiley India Pvt. Ltd.
CTET Preparation and Practice: Mathematics Paper I,Neela Ghose;Aditi Ghose;Swati Raj,Oxford University Press
Ctet/Stets Central Teacher Eligibility Test/State Teacher Eligibility Tests - Paper-II,Gupta R.,Ramesh Publishing House
A Complete Resource for CTET: Mathematics and Pedagogy,Haneet Gandhi,Pearson Education Limited
CTET Paper - II: Mathematics & Science,"Surender Singh (Author), Jyoti Sharma (Author), Veena Kapur (Author), Seema Dabas (Author)",Access Publishing India Pvt. Ltd.
CTET Success Master Maths & Science Paper-II for Class VI-VIII,Arihant Experts,Arihant Publications
CTET Preparation and Practice: Science,R. Chamundeswari;Premalatha B.,Oxford University Press
CTET & TETs Chapter Wise Bilingual Science & Pedagogy,"Mr. Neeraj Yadav (Author), Mr.Shikha Gupta (Author)",Saroha Publication
A Complete Resource for CTET: Science and Pedagogy,Yukti Sharma,Pearson Education Limited
A Complete Resource for CTET: Social Science and Pedagogy Paperback,Sandeep Kumar,Pearson Education Limited
CTET Preparation & Practice: Social Sciences/Social Studies,Seema Sarohe;Shikha Jain,Oxford University Press
CTET: Social Studies Teachers (Paper-II) (for Class VI-VIII),RPH Editorial Board,Ramesh Publishing House
Bal Vikas & Adhyapan Kala Exam GoalPost,DT Editorial Services,Dreamtech Press
CTET & TETs (Paper I & II) Bal Vikas Evam Shiksha Shastra Book,Agrawal Examcart,Agrawal Examcart
CTET & TET Ganit Paper I & Paper II,Agrawal Examcart Experts,Agrawal Examcart
CTET Preparation and Practice: Hindi Paper I & II,Meenakshi Agrawal,Oxford University Press
CTET PAPER -1ND &2ND CHAPTER WISE HINDI GRAMMAR & PEDAGOGY,SUSHIL SAROHA,Saroha Publication
CTET & TET Paryavaran Paper I (Class 1 To 5),Agrawal Examcart Experts,Agrawal Examcart
CTET & TET Samajik Adhyayan Paper II (Class 6 to 8 ),Agrawal Examcart,Agrawal Examcart
CTET & TET Vigyan Paper II (Class 6 To 8),Agrawal Examcart,Agrawal Examcart
18 Year's Solved Papers EAMCET Engineering Andhra & Telangana,Arihant Experts,Arihant Publications
Target Medical & Engineering For Cee-Assam (English),Bright tutorial home,Purbyon publications
Prep Guide To BITSAT 2019,Arihant Expert,Arihant Publications
A Complete Success Package for Online BITSAT,Arihant Expert,Arihant Publications
Gujarat CET Engineering Solved Papers,Arihant Experts,Arihant Publication
J&K CET Explorer - Engineering,MTG Editorial Board,MTG Learning Media Private Limited
16 Year's Solved Papers JCECE Engineering Entrance,Arihant Experts,Arihant Publications
Modern Approach to Chemical Calculations,R.C. Mukherjee,Bharati Bhawan Publishers & Distributors
Numerical Chemistry,P. Bahadur,G.R. Bathla Publications Pvt. Ltd.
Concepts of Organic Chemistry,O.P. Tandon,G.R. Bathla Publications Pvt. Ltd.
Physical chemistry for jee mains and advanced,O.P. Tandon,G.R. Bathla Publications Pvt. Ltd.
A New Pattern Text Book of Inorganic Chemistry,O.P. Tandon,G.R. Bathla Publications Pvt. Ltd.
Concepts of Physical Chemistry,P.Bahadur,Prakash Publications
Higher Algebra,Hall Knight,Arihant Publications
Practice Book Mathematics for JEE Main and Advanced,Dr. SK Goyal,Arihant Publications
A Problem Book in MATHEMATICAL ANALYSIS,G N Berman,Arihant Publications
Problems Plus in IIT Mathematics,Asit Das Gupta,Bharati Bhawan Publishers & Distributors
Mathematics for Joint Entrance Examination for JEE (Advanced),G.Tewani,Cengage Publications
IIT Mathematics For JEE (Main & Advanced) (Set Of 2 Volumes),M L Khanna,Jai Prakash Nath & Co.
Problems In GENERAL PHYSICS,I E Irodov,Arihant Publications
,"Jearl Walker, David Halliday, Robert Resnick",Wiley
New Pattern Physics for JEE (Advanced),B.M. Sharma,Cengage Publications
Vastunisth Moolbhoot RASAYAN Bhag 1 - JEE Main & Advance...,"Hindi, Paperback, Preeti Gupta, Dr. Sachin Bhola",Arihant Publications
Vastunisth Moolbhoot RASAYAN Bhag 2 - JEE Main & Advance...,"Hindi, Paperback, Preeti Gupta, Dr. Sachin Bhola",Arihant Publications
Vastunisth Moolbhoot Ganit Bhag 2 JEE Main and Advanced,"Suraj singh, Dheer singh",Arihant Publications
Vastunisth Moolbhoot GANIT Bhag 1 - JEE Main & Advanced,"Hindi, Paperback, Dheer Singh, Suraj Singh",Arihant Publications
Vastunisth Moolbhoot BHOTIKI Bhag 2 - JEE Main & Advance...,"Hindi, Paperback, RC Verma, Nipendra Bhatnagar",Arihant Publications
Vastunisth Moolbhoot BHOTIKI Bhaag 1 - JEE Main & Advance...,"Hindi, Paperback, RC Verma, Nipendra Bhatnagar",Arihant Publications
16 JEE Main Online 2019 Phase I & II Solved Papers with FREE 5 Online Tests,Disha Experts,Disha Publication
A Textbook of Inorganic Chemistry for JEE Main and Advanced,Arihant Experts,Arihant Publications
A Textbook of organic Chemistry for JEE Main and Advanced,Arihant Experts,Arihant Publications
A Textbook of physical Chemistry for JEE Main and Advanced,Arihant Experts,Arihant Publications
Concept of Physical Chemistry for JEE (Main &Advanced),P. Bahdur,G.R. Bathla Publications Private Limited
Inorganic Chemistry for Joint Entrance Examination JEE(Advanced) Part 2,K.S. Verma,Cengage Publications
Chemistry for JEE Main,Seema Saini,Cengage Publications
Chemistry for JEE Main,Ananya Ganguly,Pearson Education Limited
Fundamentals of Physical Chemistry,Ananya Ganguly,Pearson Education Limited
Organic Chemistry,Bahl & Bahl,S.Chand & Company Pvt. Ltd.
Fast Track Objective Arithmetic,Rajesh Verma,Arihant Publications
Differential Calculus,Amit M Agarwal,Arihant Publications
A Problem Book in Mathematics for IIT JEE,S.K. Goyal,Arihant Publications
Integral Calculus,Amit M Agarwal,Arihant Publications
Mathematics for JEE mains,G.Tewani,Cengage Publications
Complete Mathematics JEE & Main,"Ravi Prakash, Ajay Kumar & Usha Gupta",McGraw-Hill Education
Plane Trigonometry,S.L. loney,Arihant Publications
The Elements Of Coordinate Geometry,S.L. loney,Arihant Publications
Optics and modern physics,D.C. Pandey,Arihant Publications
Concept of Physics Part-1,H.C. Verma,Bharati Bhawan Publishers & Distributors
Concept of Physics Part-2,H.C. Verma,Bharati Bhawan Publishers & Distributors
Master Resource Book in Physics JEE Main,DB Singh,Arihant Publications
Objective Physics For JEE Class 11,B.M. Sharma,Cengage Publications
Objective Physics For JEE Class 12,B.M. Sharma,Cengage Publications
Mechanics - 1,D.C. Pandey,Arihant Publications
Mechanics - 2,D.C. Pandey,Arihant Publications
Electricity and magnetism,D.C. Pandey,Arihant Publications
Waves and thermodynamics,D.C. Pandey,Arihant Publications
JEE Main Prep Guide 2019,Arihant experts,Arihant Publications
Sampurna Study Package Ganit JEE Main,"Suraj singh, Manjul tyagi",Arihant Publications
Sampurna Study Package Bhautiki JEE Main,Dharamvir singh,Arihant Publications
Sampurna Study Package - Rasayan JEE Main,Sachin Bholam and Abhay Kumar,Arihant Publications
16 Years 2003-2018 Solved Papers Karnataka Cet Engineering Entrance,Arihant Experts,Arihant Publications
15 Years 2004-2018 Solved Papers Kerala Cee Engineering Entrance Exam,Arihant Experts,Arihant Publications
MHT CET Engineering Entrances Prep Guide Physics,Arihant Experts,Arihant Publications
MHT CET Triumph Biology MCQs (Based on Std. XII Syllabus Maharashtra Board),Tejal Shinde,Target Publications Pvt. Ltd.
Arihant's MHT-CET Chemistry,Arihant Experts,Arihant Publications
MHT CET Triumph Chemistry MCQs (Based on XI & XII Syllabus Maharashtra Board),"Prof. Santosh Yadav, Prof. Anil Thomas",Target Publications Pvt. Ltd.
MHT CET Engineering Entrances Prep Guide Mathematics,Arihant Experts,Arihant Publications
MHT CET Engineering Entrances Prep Guide Chemistry,Arihant Experts,Arihant Publications
MHT CET Triumph Maths MCQs (Based on XI & XII Syllabus Maharashtra Board),Vinod singh,Target Publications Pvt. Ltd.
Arihant's MHT-CET Physics,Arihant Experts,Arihant Publications
MHT CET Triumph Physics MCQs (Based on Std. XII Syllabus Maharashtra Board),Meenal Iyer,Target Publications Pvt. Ltd.
B. Arch. NATA Knowledge Bank Practice Test Papers,Ashok Goel,Ramesh Publishing House
15 Years Solved Papers UPTU UPSEE,Arihant Experts,Arihant Publications
Target VITEEE 2019 - Past 13 Years (2018-2006) Solved Papers + 10 Mock Tests 8th Edition,Disha Experts,Disha Publication
AIIMS Explorer,MTG Editorial Board,MTG Learning Media Private Limited
22 years AIIMS Chapter-wise Solved Papers (1997-2018),Disha Experts,Disha Publication
